word,syllables,tonic,class,canonic
lá,['lá'],0,oxítona,True
lã,['lã'],0,oxítona,True
labareda,"['la', 'ba', 're', 'da']",2,paroxítona,True
labéu,"['la', 'béu']",1,oxítona,False
lábia,"['lá', 'bi', 'a']",0,proparoxítona,False
labiado,"['la', 'bi', 'a', 'do']",2,paroxítona,False
labial,"['la', 'bi', 'al']",2,oxítona,False
lábio,"['lá', 'bi', 'o']",0,proparoxítona,False
labiríntico,"['la', 'bi', 'rín', 'ti', 'co']",2,proparoxítona,False
labirinto,"['la', 'bi', 'rin', 'to']",2,paroxítona,False
labor,"['la', 'bor']",1,oxítona,False
laboração,"['la', 'bo', 'ra', 'ção']",3,oxítona,False
laboral,"['la', 'bo', 'ral']",2,oxítona,False
laborar,"['la', 'bo', 'rar']",2,oxítona,False
laboratorial,"['la', 'bo', 'ra', 'to', 'ri', 'al']",5,oxítona,False
laboratorialmente,"['la', 'bo', 'ra', 'to', 'ri', 'al', 'men', 'te']",6,paroxítona,False
laboratório,"['la', 'bo', 'ra', 'tó', 'ri', 'o']",3,proparoxítona,False
laboriosamente,"['la', 'bo', 'ri', 'o', 'sa', 'men', 'te']",5,paroxítona,False
laboriosidade,"['la', 'bo', 'ri', 'o', 'si', 'da', 'de']",5,paroxítona,False
laborioso,"['la', 'bo', 'ri', 'o', 'so']",3,paroxítona,False
laborista,"['la', 'bo', 'ris', 'ta']",2,paroxítona,False
labrador,"['la', 'bra', 'dor']",2,oxítona,False
labregar,"['la', 'bre', 'gar']",2,oxítona,False
labrego,"['la', 'bre', 'go']",1,paroxítona,False
labro,"['la', 'bro']",0,paroxítona,False
labuta,"['la', 'bu', 'ta']",1,paroxítona,True
labutar,"['la', 'bu', 'tar']",2,oxítona,False
laca,"['la', 'ca']",0,paroxítona,True
laça,"['la', 'ça']",0,paroxítona,True
lacada,"['la', 'ca', 'da']",1,paroxítona,True
laçada,"['la', 'ça', 'da']",1,paroxítona,True
lacado,"['la', 'ca', 'do']",1,paroxítona,True
lacaio,"['la', 'cai', 'o']",1,paroxítona,False
lacaniano,"['la', 'ca', 'ni', 'a', 'no']",3,paroxítona,False
lacão,"['la', 'cão']",1,oxítona,False
laçar,"['la', 'çar']",1,oxítona,False
lacar,"['la', 'car']",1,oxítona,False
laçaria,"['la', 'ça', 'ri', 'a']",2,paroxítona,False
laçarote,"['la', 'ça', 'ro', 'te']",2,paroxítona,True
