word,syllables,tonic,class,canonic
gabão,"['ga', 'bão']",1,oxítona,False
gabar,"['ga', 'bar']",1,oxítona,False
gabardina,"['ga', 'bar', 'di', 'na']",2,paroxítona,False
gabardine,"['ga', 'bar', 'di', 'ne']",2,paroxítona,False
gabarito,"['ga', 'ba', 'ri', 'to']",2,paroxítona,True
gabarola,"['ga', 'ba', 'ro', 'la']",2,paroxítona,True
gabarolas,"['ga', 'ba', 'ro', 'las']",2,paroxítona,False
gabarolice,"['ga', 'ba', 'ro', 'li', 'ce']",3,paroxítona,True
gabarra,"['ga', 'bar', 'ra']",1,paroxítona,False
gabela,"['ga', 'be', 'la']",1,paroxítona,True
gabiar,"['ga', 'bi', 'ar']",2,oxítona,False
gabinete,"['ga', 'bi', 'ne', 'te']",2,paroxítona,True
gabiru,"['ga', 'bi', 'ru']",2,oxítona,True
gabo,"['ga', 'bo']",0,paroxítona,True
gabonês,"['ga', 'bo', 'nês']",2,oxítona,False
gacha,"['ga', 'cha']",0,paroxítona,False
gadanha,"['ga', 'da', 'nha']",1,paroxítona,False
gadanhar,"['ga', 'da', 'nhar']",2,oxítona,False
gadanho,"['ga', 'da', 'nho']",1,paroxítona,False
gadelhudo,"['ga', 'de', 'lhu', 'do']",2,paroxítona,False
gadídeo,"['ga', 'dí', 'de', 'o']",1,proparoxítona,False
gaditano,"['ga', 'di', 'ta', 'no']",2,paroxítona,True
gado,"['ga', 'do']",0,paroxítona,True
gael,"['ga', 'el']",1,oxítona,False
gaélico,"['ga', 'é', 'li', 'co']",1,proparoxítona,False
gafa,"['ga', 'fa']",0,paroxítona,True
gafanhoto,"['ga', 'fa', 'nho', 'to']",2,paroxítona,False
gafar,"['ga', 'far']",1,oxítona,False
gafaria,"['ga', 'fa', 'ri', 'a']",2,paroxítona,False
gafe,"['ga', 'fe']",0,paroxítona,True
gafeira,"['ga', 'fei', 'ra']",1,paroxítona,False
gafeirar,"['ga', 'fei', 'rar']",2,oxítona,False
gaffe,"['gaf', 'fe']",0,paroxítona,False
gafieira,"['ga', 'fi', 'ei', 'ra']",2,paroxítona,False
gafo,"['ga', 'fo']",0,paroxítona,True
gag,['gag'],0,oxítona,False
gagá,"['ga', 'gá']",1,oxítona,True
gagamente,"['ga', 'ga', 'men', 'te']",2,paroxítona,False
gage,"['ga', 'ge']",0,paroxítona,True
gago,"['ga', 'go']",0,paroxítona,True
gaguejante,"['ga', 'gue', 'jan', 'te']",2,paroxítona,False
gaguejar,"['ga', 'gue', 'jar']",2,oxítona,False
gaguejo,"['ga', 'gue', 'jo']",1,paroxítona,False
gaguez,"['ga', 'guez']",1,oxítona,False
gaia,"['gai', 'a']",0,paroxítona,False
gaiado,"['gai', 'a', 'do']",1,paroxítona,False
gaiar,"['gai', 'ar']",1,oxítona,False
gaiata,"['gai', 'a', 'ta']",1,paroxítona,False
gaiatamente,"['gai', 'a', 'ta', 'men', 'te']",3,paroxítona,False
gaiatar,"['gai', 'a', 'tar']",2,oxítona,False
gaiato,"['gai', 'a', 'to']",1,paroxítona,False
gaibéu,"['gai', 'béu']",1,oxítona,False
gaiense,"['gai', 'en', 'se']",1,paroxítona,False
gaio,"['gai', 'o']",0,paroxítona,False
gaiola,"['gai', 'o', 'la']",1,paroxítona,False
gaioleiro,"['gai', 'o', 'lei', 'ro']",2,paroxítona,False
gaiolo,"['gai', 'o', 'lo']",1,paroxítona,False
gaita,"['gai', 'ta']",0,paroxítona,False
gaita de foles,"['gai', 'ta de ', 'fo', 'les']",2,paroxítona,False
gaitada,"['gai', 'ta', 'da']",1,paroxítona,False
gaiteirice,"['gai', 'tei', 'ri', 'ce']",2,paroxítona,False
gaiteiro,"['gai', 'tei', 'ro']",1,paroxítona,False
gaivão,"['gai', 'vão']",1,oxítona,False
gaivota,"['gai', 'vo', 'ta']",1,paroxítona,False
gaivoto,"['gai', 'vo', 'to']",1,paroxítona,False
gaja,"['ga', 'ja']",0,paroxítona,True
gajar,"['ga', 'jar']",1,oxítona,False
gajas,"['ga', 'jas']",0,paroxítona,False
gajeiro,"['ga', 'jei', 'ro']",1,paroxítona,False
gajo,"['ga', 'jo']",0,paroxítona,True
gal,['gal'],0,oxítona,False
galã,"['ga', 'lã']",1,oxítona,True
gala,"['ga', 'la']",0,paroxítona,True
galáctico,"['ga', 'lác', 'ti', 'co']",1,proparoxítona,False
galafura,"['ga', 'la', 'fu', 'ra']",2,paroxítona,True
galaica,"['ga', 'lai', 'ca']",1,paroxítona,False
galaico,"['ga', 'lai', 'co']",1,paroxítona,False
galaico-português,"['ga', 'lai', 'co-por', 'tu', 'guês']",4,oxítona,False
galaio,"['ga', 'lai', 'o']",1,paroxítona,False
galante,"['ga', 'lan', 'te']",1,paroxítona,False
galanteador,"['ga', 'lan', 'te', 'a', 'dor']",4,oxítona,False
galantear,"['ga', 'lan', 'te', 'ar']",3,oxítona,False
galanteio,"['ga', 'lan', 'tei', 'o']",2,paroxítona,False
galantemente,"['ga', 'lan', 'te', 'men', 'te']",3,paroxítona,False
galanteria,"['ga', 'lan', 'te', 'ri', 'a']",3,paroxítona,False
galão,"['ga', 'lão']",1,oxítona,False
galápago,"['ga', 'lá', 'pa', 'go']",1,proparoxítona,True
galapo,"['ga', 'la', 'po']",1,paroxítona,True
galar,"['ga', 'lar']",1,oxítona,False
galardão,"['ga', 'lar', 'dão']",2,oxítona,False
galardoado,"['ga', 'lar', 'do', 'a', 'do']",3,paroxítona,False
galardoar,"['ga', 'lar', 'do', 'ar']",3,oxítona,False
galarim,"['ga', 'la', 'rim']",2,oxítona,False
gálata,"['gá', 'la', 'ta']",0,proparoxítona,True
galáxia,"['ga', 'lá', 'xi', 'a']",1,proparoxítona,False
galdéria,"['gal', 'dé', 'ri', 'a']",1,proparoxítona,False
galdério,"['gal', 'dé', 'ri', 'o']",1,proparoxítona,False
galé,"['ga', 'lé']",1,oxítona,True
galeado,"['ga', 'le', 'a', 'do']",2,paroxítona,False
galeão,"['ga', 'le', 'ão']",2,oxítona,False
galear,"['ga', 'le', 'ar']",2,oxítona,False
galega,"['ga', 'le', 'ga']",1,paroxítona,True
galego,"['ga', 'le', 'go']",1,paroxítona,True
galego-português,"['ga', 'le', 'go-por', 'tu', 'guês']",4,oxítona,False
galeirão,"['ga', 'lei', 'rão']",2,oxítona,False
galela,"['ga', 'le', 'la']",1,paroxítona,True
galelo,"['ga', 'le', 'lo']",1,paroxítona,True
galena,"['ga', 'le', 'na']",1,paroxítona,True
galeno,"['ga', 'le', 'no']",1,paroxítona,True
galeota,"['ga', 'le', 'o', 'ta']",2,paroxítona,False
galeote,"['ga', 'le', 'o', 'te']",2,paroxítona,False
galera,"['ga', 'le', 'ra']",1,paroxítona,True
galeria,"['ga', 'le', 'ri', 'a']",2,paroxítona,False
galerista,"['ga', 'le', 'ris', 'ta']",2,paroxítona,False
galés,"['ga', 'lés']",1,oxítona,False
galês,"['ga', 'lês']",1,oxítona,False
galesa,"['ga', 'le', 'sa']",1,paroxítona,True
galga,"['gal', 'ga']",0,paroxítona,False
galgar,"['gal', 'gar']",1,oxítona,False
galgo,"['gal', 'go']",0,paroxítona,False
galgueiro,"['gal', 'guei', 'ro']",1,paroxítona,False
galharda,"['ga', 'lhar', 'da']",1,paroxítona,False
galhardamente,"['ga', 'lhar', 'da', 'men', 'te']",3,paroxítona,False
galhardete,"['ga', 'lhar', 'de', 'te']",2,paroxítona,False
galhardia,"['ga', 'lhar', 'di', 'a']",2,paroxítona,False
galhardo,"['ga', 'lhar', 'do']",1,paroxítona,False
galheiro,"['ga', 'lhei', 'ro']",1,paroxítona,False
galheta,"['ga', 'lhe', 'ta']",1,paroxítona,False
galheteiro,"['ga', 'lhe', 'tei', 'ro']",2,paroxítona,False
galho,"['ga', 'lho']",0,paroxítona,False
galhofa,"['ga', 'lho', 'fa']",1,paroxítona,False
galhofar,"['ga', 'lho', 'far']",2,oxítona,False
galhofeira,"['ga', 'lho', 'fei', 'ra']",2,paroxítona,False
galhofeiramente,"['ga', 'lho', 'fei', 'ra', 'men', 'te']",4,paroxítona,False
galhofeiro,"['ga', 'lho', 'fei', 'ro']",2,paroxítona,False
galicismo,"['ga', 'li', 'cis', 'mo']",2,paroxítona,False
gálico,"['gá', 'li', 'co']",0,proparoxítona,True
galilé,"['ga', 'li', 'lé']",2,oxítona,True
galileia,"['ga', 'li', 'lei', 'a']",2,paroxítona,False
galileu,"['ga', 'li', 'leu']",2,oxítona,False
galináceo,"['ga', 'li', 'ná', 'ce', 'o']",2,proparoxítona,False
galinha,"['ga', 'li', 'nha']",1,paroxítona,False
galinha-da-índia,"['ga', 'li', 'nha-da-', 'ín', 'di', 'a']",3,proparoxítona,False
galinha-sultana,"['ga', 'li', 'nha-sul', 'ta', 'na']",3,paroxítona,False
galinheira,"['ga', 'li', 'nhei', 'ra']",2,paroxítona,False
galinheiro,"['ga', 'li', 'nhei', 'ro']",2,paroxítona,False
galinhola,"['ga', 'li', 'nho', 'la']",2,paroxítona,False
gálio,"['gá', 'li', 'o']",0,proparoxítona,False
galo,"['ga', 'lo']",0,paroxítona,True
galo-romano,"['ga', 'lo-ro', 'ma', 'no']",2,paroxítona,False
galocha,"['ga', 'lo', 'cha']",1,paroxítona,False
galopada,"['ga', 'lo', 'pa', 'da']",2,paroxítona,True
galopado,"['ga', 'lo', 'pa', 'do']",2,paroxítona,True
galopante,"['ga', 'lo', 'pan', 'te']",2,paroxítona,False
galopar,"['ga', 'lo', 'par']",2,oxítona,False
galope,"['ga', 'lo', 'pe']",1,paroxítona,True
galopim,"['ga', 'lo', 'pim']",2,oxítona,False
galpão,"['gal', 'pão']",1,oxítona,False
galrão,"['gal', 'rão']",1,oxítona,False
galricho,"['gal', 'ri', 'cho']",1,paroxítona,False
galrito,"['gal', 'ri', 'to']",1,paroxítona,False
galucho,"['ga', 'lu', 'cho']",1,paroxítona,False
galvanização,"['gal', 'va', 'ni', 'za', 'ção']",4,oxítona,False
galvanizado,"['gal', 'va', 'ni', 'za', 'do']",3,paroxítona,False
galvanizador,"['gal', 'va', 'ni', 'za', 'dor']",4,oxítona,False
galvanizadora,"['gal', 'va', 'ni', 'za', 'do', 'ra']",4,paroxítona,False
galvanizante,"['gal', 'va', 'ni', 'zan', 'te']",3,paroxítona,False
galvanizar,"['gal', 'va', 'ni', 'zar']",3,oxítona,False
galvanoplastia,"['gal', 'va', 'no', 'plas', 'ti', 'a']",4,paroxítona,False
gama,"['ga', 'ma']",0,paroxítona,True
gamado,"['ga', 'ma', 'do']",1,paroxítona,True
gamagrafia,"['ga', 'ma', 'gra', 'fi', 'a']",3,paroxítona,False
gamanço,"['ga', 'man', 'ço']",1,paroxítona,False
gamão,"['ga', 'mão']",1,oxítona,False
gamar,"['ga', 'mar']",1,oxítona,False
gamarra,"['ga', 'mar', 'ra']",1,paroxítona,False
gamba,"['gam', 'ba']",0,paroxítona,False
gambá,"['gam', 'bá']",1,oxítona,False
gambelar,"['gam', 'be', 'lar']",2,oxítona,False
gâmbia,"['gâm', 'bi', 'a']",0,proparoxítona,False
gambiana,"['gam', 'bi', 'a', 'na']",2,paroxítona,False
gambiano,"['gam', 'bi', 'a', 'no']",2,paroxítona,False
gambiarra,"['gam', 'bi', 'ar', 'ra']",2,paroxítona,False
gambito,"['gam', 'bi', 'to']",1,paroxítona,False
gambo,"['gam', 'bo']",0,paroxítona,False
gamboa,"['gam', 'bo', 'a']",1,paroxítona,False
gambozino,"['gam', 'bo', 'zi', 'no']",2,paroxítona,False
gameiro,"['ga', 'mei', 'ro']",1,paroxítona,False
gamela,"['ga', 'me', 'la']",1,paroxítona,True
gamelão,"['ga', 'me', 'lão']",2,oxítona,False
gâmeta,"['gâ', 'me', 'ta']",0,proparoxítona,True
gamo,"['ga', 'mo']",0,paroxítona,True
gana,"['ga', 'na']",0,paroxítona,True
ganadaria,"['ga', 'na', 'da', 'ri', 'a']",3,paroxítona,False
ganadeiro,"['ga', 'na', 'dei', 'ro']",2,paroxítona,False
ganância,"['ga', 'nân', 'ci', 'a']",1,proparoxítona,False
gananciosa,"['ga', 'nan', 'ci', 'o', 'sa']",3,paroxítona,False
gananciosamente,"['ga', 'nan', 'ci', 'o', 'sa', 'men', 'te']",5,paroxítona,False
ganancioso,"['ga', 'nan', 'ci', 'o', 'so']",3,paroxítona,False
ganchar,"['gan', 'char']",1,oxítona,False
gancheta,"['gan', 'che', 'ta']",1,paroxítona,False
ganchinho,"['gan', 'chi', 'nho']",1,paroxítona,False
gancho,"['gan', 'cho']",0,paroxítona,False
ganchorra,"['gan', 'chor', 'ra']",1,paroxítona,False
ganço,"['gan', 'ço']",0,paroxítona,False
ganda,"['gan', 'da']",0,paroxítona,False
gandaia,"['gan', 'dai', 'a']",1,paroxítona,False
gandaiar,"['gan', 'dai', 'ar']",2,oxítona,False
gândara,"['gân', 'da', 'ra']",0,proparoxítona,False
gandarês,"['gan', 'da', 'rês']",2,oxítona,False
gandarinha,"['gan', 'da', 'ri', 'nha']",2,paroxítona,False
gando,"['gan', 'do']",0,paroxítona,False
gandra,"['gan', 'dra']",0,paroxítona,False
gandula,"['gan', 'du', 'la']",1,paroxítona,False
gandulagem,"['gan', 'du', 'la', 'gem']",2,paroxítona,False
gandular,"['gan', 'du', 'lar']",2,oxítona,False
gandulo,"['gan', 'du', 'lo']",1,paroxítona,False
ganês,"['ga', 'nês']",1,oxítona,False
gang,['gang'],0,oxítona,False
ganga,"['gan', 'ga']",0,paroxítona,False
gânglio,"['gân', 'gli', 'o']",0,proparoxítona,False
ganglionar,"['gan', 'gli', 'o', 'nar']",3,oxítona,False
gangrena,"['gan', 'gre', 'na']",1,paroxítona,False
gangrenado,"['gan', 'gre', 'na', 'do']",2,paroxítona,False
gangrenar,"['gan', 'gre', 'nar']",2,oxítona,False
gangrenoso,"['gan', 'gre', 'no', 'so']",2,paroxítona,False
gangster,"['gang', 'ster']",0,paroxítona,False
gangsterismo,"['gangs', 'te', 'ris', 'mo']",2,paroxítona,False
ganguela,"['gan', 'gue', 'la']",1,paroxítona,False
ganha-pão,"['ga', 'nha-', 'pão']",2,oxítona,False
ganhador,"['ga', 'nha', 'dor']",2,oxítona,False
ganhão,"['ga', 'nhão']",1,oxítona,False
ganhar,"['ga', 'nhar']",1,oxítona,False
ganharia,"['ga', 'nha', 'ri', 'a']",2,paroxítona,False
ganhó,"['ga', 'nhó']",1,oxítona,False
ganho,"['ga', 'nho']",0,paroxítona,False
ganimedes,"['ga', 'ni', 'me', 'des']",2,paroxítona,False
ganir,"['ga', 'nir']",1,oxítona,False
ganja,"['gan', 'ja']",0,paroxítona,False
ganso,"['gan', 'so']",0,paroxítona,False
ganso-patola,"['gan', 'so-pa', 'to', 'la']",2,paroxítona,False
ganzá,"['gan', 'zá']",1,oxítona,False
ganza,"['gan', 'za']",0,paroxítona,False
ganzado,"['gan', 'za', 'do']",1,paroxítona,False
ganzar,"['gan', 'zar']",1,oxítona,False
gap,['gap'],0,oxítona,False
garagem,"['ga', 'ra', 'gem']",1,paroxítona,False
garagista,"['ga', 'ra', 'gis', 'ta']",2,paroxítona,False
garajau,"['ga', 'ra', 'jau']",2,oxítona,False
garançar,"['ga', 'ran', 'çar']",2,oxítona,False
garanhão,"['ga', 'ra', 'nhão']",2,oxítona,False
garante,"['ga', 'ran', 'te']",1,paroxítona,False
garantia,"['ga', 'ran', 'ti', 'a']",2,paroxítona,False
garantido,"['ga', 'ran', 'ti', 'do']",2,paroxítona,False
garantir,"['ga', 'ran', 'tir']",2,oxítona,False
garatuja,"['ga', 'ra', 'tu', 'ja']",2,paroxítona,True
garatujar,"['ga', 'ra', 'tu', 'jar']",3,oxítona,False
garbo,"['gar', 'bo']",0,paroxítona,False
garbosamente,"['gar', 'bo', 'sa', 'men', 'te']",3,paroxítona,False
garboso,"['gar', 'bo', 'so']",1,paroxítona,False
garça,"['gar', 'ça']",0,paroxítona,False
garça-boieira,"['gar', 'ça-boi', 'ei', 'ra']",2,paroxítona,False
garça-real,"['gar', 'ça-re', 'al']",2,oxítona,False
garção,"['gar', 'ção']",1,oxítona,False
garcês,"['gar', 'cês']",1,oxítona,False
garço,"['gar', 'ço']",0,paroxítona,False
garçom,"['gar', 'çom']",0,paroxítona,False
garçon,"['gar', 'çon']",0,paroxítona,False
garçonne,"['gar', 'çon', 'ne']",1,paroxítona,False
gardénia,"['gar', 'dé', 'ni', 'a']",1,proparoxítona,False
gardunha,"['gar', 'du', 'nha']",1,paroxítona,False
gare,"['ga', 're']",0,paroxítona,True
garfada,"['gar', 'fa', 'da']",1,paroxítona,False
garfar,"['gar', 'far']",1,oxítona,False
garfo,"['gar', 'fo']",0,paroxítona,False
gargalhada,"['gar', 'ga', 'lha', 'da']",2,paroxítona,False
gargalhar,"['gar', 'ga', 'lhar']",2,oxítona,False
gargalo,"['gar', 'ga', 'lo']",1,paroxítona,False
garganta,"['gar', 'gan', 'ta']",1,paroxítona,False
gargantear,"['gar', 'gan', 'te', 'ar']",3,oxítona,False
gargantilha,"['gar', 'gan', 'ti', 'lha']",2,paroxítona,False
gargantuesco,"['gar', 'gan', 'tu', 'es', 'co']",3,paroxítona,False
gargarejar,"['gar', 'ga', 're', 'jar']",3,oxítona,False
gargarejo,"['gar', 'ga', 're', 'jo']",2,paroxítona,False
gárgula,"['gár', 'gu', 'la']",0,proparoxítona,False
gari,"['ga', 'ri']",1,oxítona,True
garimpar,"['ga', 'rim', 'par']",2,oxítona,False
garimpeiro,"['ga', 'rim', 'pei', 'ro']",2,paroxítona,False
garimpo,"['ga', 'rim', 'po']",1,paroxítona,False
garina,"['ga', 'ri', 'na']",1,paroxítona,True
garinar,"['ga', 'ri', 'nar']",2,oxítona,False
garnisé,"['gar', 'ni', 'sé']",2,oxítona,False
garota,"['ga', 'ro', 'ta']",1,paroxítona,True
garotada,"['ga', 'ro', 'ta', 'da']",2,paroxítona,True
garotar,"['ga', 'ro', 'tar']",2,oxítona,False
garotice,"['ga', 'ro', 'ti', 'ce']",2,paroxítona,True
garoto,"['ga', 'ro', 'to']",1,paroxítona,True
garoupa,"['ga', 'rou', 'pa']",1,paroxítona,False
garra,"['gar', 'ra']",0,paroxítona,False
garrafa,"['gar', 'ra', 'fa']",1,paroxítona,False
garrafa-termo,"['gar', 'ra', 'fa-', 'ter', 'mo']",3,paroxítona,False
garrafada,"['gar', 'ra', 'fa', 'da']",2,paroxítona,False
garrafal,"['gar', 'ra', 'fal']",2,oxítona,False
garrafão,"['gar', 'ra', 'fão']",2,oxítona,False
garrafeira,"['gar', 'ra', 'fei', 'ra']",2,paroxítona,False
garrafeiro,"['gar', 'ra', 'fei', 'ro']",2,paroxítona,False
garrafinha,"['gar', 'ra', 'fi', 'nha']",2,paroxítona,False
garraiada,"['gar', 'rai', 'a', 'da']",2,paroxítona,False
garraio,"['gar', 'rai', 'o']",1,paroxítona,False
garrana,"['gar', 'ra', 'na']",1,paroxítona,False
garranchar,"['gar', 'ran', 'char']",2,oxítona,False
garrancho,"['gar', 'ran', 'cho']",1,paroxítona,False
garrano,"['gar', 'ra', 'no']",1,paroxítona,False
garrão,"['gar', 'rão']",1,oxítona,False
garrar,"['gar', 'rar']",1,oxítona,False
garrettiano,"['gar', 'ret', 'ti', 'a', 'no']",3,paroxítona,False
garrida,"['gar', 'ri', 'da']",1,paroxítona,False
garridamente,"['gar', 'ri', 'da', 'men', 'te']",3,paroxítona,False
garridice,"['gar', 'ri', 'di', 'ce']",2,paroxítona,False
garrido,"['gar', 'ri', 'do']",1,paroxítona,False
garrincha,"['gar', 'rin', 'cha']",1,paroxítona,False
garrir,"['gar', 'rir']",1,oxítona,False
garro,"['gar', 'ro']",0,paroxítona,False
garrotar,"['gar', 'ro', 'tar']",2,oxítona,False
garrote,"['gar', 'ro', 'te']",1,paroxítona,False
garrucho,"['gar', 'ru', 'cho']",1,paroxítona,False
garupa,"['ga', 'ru', 'pa']",1,paroxítona,True
gás,['gás'],0,oxítona,False
gascão,"['gas', 'cão']",1,oxítona,False
gascões,"['gas', 'cões']",1,oxítona,False
gaseado,"['ga', 'se', 'a', 'do']",2,paroxítona,False
gasear,"['ga', 'se', 'ar']",2,oxítona,False
gaseificação,"['ga', 'sei', 'fi', 'ca', 'ção']",4,oxítona,False
gaseificado,"['ga', 'sei', 'fi', 'ca', 'do']",3,paroxítona,False
gaseificar,"['ga', 'sei', 'fi', 'car']",3,oxítona,False
gasganete,"['gas', 'ga', 'ne', 'te']",2,paroxítona,False
gasificação,"['ga', 'si', 'fi', 'ca', 'ção']",4,oxítona,False
gasocarbónico,"['ga', 'so', 'car', 'bó', 'ni', 'co']",3,proparoxítona,False
gasoduto,"['ga', 'so', 'du', 'to']",2,paroxítona,True
gasogénio,"['ga', 'so', 'gé', 'ni', 'o']",2,proparoxítona,False
gasóleo,"['ga', 'só', 'le', 'o']",1,proparoxítona,False
gasolina,"['ga', 'so', 'li', 'na']",2,paroxítona,True
gasolineira,"['ga', 'so', 'li', 'nei', 'ra']",3,paroxítona,False
gasolineiro,"['ga', 'so', 'li', 'nei', 'ro']",3,paroxítona,False
gasometria,"['ga', 'so', 'me', 'tri', 'a']",3,paroxítona,False
gasómetro,"['ga', 'só', 'me', 'tro']",1,proparoxítona,False
gasosa,"['ga', 'so', 'sa']",1,paroxítona,True
gasoso,"['ga', 'so', 'so']",1,paroxítona,True
gaspacho,"['gas', 'pa', 'cho']",1,paroxítona,False
gasparinho,"['gas', 'pa', 'ri', 'nho']",2,paroxítona,False
gáspea,"['gás', 'pe', 'a']",0,proparoxítona,False
gastador,"['gas', 'ta', 'dor']",2,oxítona,False
gastadora,"['gas', 'ta', 'do', 'ra']",2,paroxítona,False
gastão,"['gas', 'tão']",1,oxítona,False
gastar,"['gas', 'tar']",1,oxítona,False
gasto,"['gas', 'to']",0,paroxítona,False
gastrenterite,"['gas', 'tren', 'te', 'ri', 'te']",3,paroxítona,False
gastrenterologia,"['gas', 'tren', 'te', 'ro', 'lo', 'gi', 'a']",5,paroxítona,False
gastrenterologista,"['gas', 'tren', 'te', 'ro', 'lo', 'gis', 'ta']",5,paroxítona,False
gástrica,"['gás', 'tri', 'ca']",0,proparoxítona,False
gástrico,"['gás', 'tri', 'co']",0,proparoxítona,False
gastrintestinal,"['gas', 'trin', 'tes', 'ti', 'nal']",4,oxítona,False
gastrite,"['gas', 'tri', 'te']",1,paroxítona,False
gastroenterite,"['gas', 'tro', 'en', 'te', 'ri', 'te']",4,paroxítona,False
gastroenterologia,"['gas', 'tro', 'en', 'te', 'ro', 'lo', 'gi', 'a']",6,paroxítona,False
gastrointestinal,"['gas', 'tro', 'in', 'tes', 'ti', 'nal']",5,oxítona,False
gastronomia,"['gas', 'tro', 'no', 'mi', 'a']",3,paroxítona,False
gastronómico,"['gas', 'tro', 'nó', 'mi', 'co']",2,proparoxítona,False
gastrónomo,"['gas', 'tró', 'no', 'mo']",1,proparoxítona,False
gastrópode,"['gas', 'tró', 'po', 'de']",1,proparoxítona,False
gastrulação,"['gas', 'tru', 'la', 'ção']",3,oxítona,False
gata,"['ga', 'ta']",0,paroxítona,True
gata-borralheira,"['ga', 'ta-bor', 'ra', 'lhei', 'ra']",3,paroxítona,False
gatafunho,"['ga', 'ta', 'fu', 'nho']",2,paroxítona,False
gatão,"['ga', 'tão']",1,oxítona,False
gatar,"['ga', 'tar']",1,oxítona,False
gataria,"['ga', 'ta', 'ri', 'a']",2,paroxítona,False
gateira,"['ga', 'tei', 'ra']",1,paroxítona,False
gateiro,"['ga', 'tei', 'ro']",1,paroxítona,False
gatil,"['ga', 'til']",1,oxítona,False
gatilho,"['ga', 'ti', 'lho']",1,paroxítona,False
gatinha,"['ga', 'ti', 'nha']",1,paroxítona,False
